episode_id,type,our_seat,our_reward,opp_team,opp_submission_id,opp_reward,result,our_buy_land,our_buy_animal,our_hire,our_n_unlocked,our_max_hands,our_animals_placed,our_land_cause_day,our_land_cause_hour,our_land_cause_money,our_land_cause_hands,our_land_cause_plants,opp_buy_land,opp_buy_animal,opp_hire,opp_n_unlocked,opp_max_hands,opp_animals_placed,opp_land,opp_animals
91907290,EPISODE_TYPE_PUBLIC,0,20856,kuroneko,55236372,24694,LOSS,1,0,122,2,6,0,0,23,1873.0,4,13,1,0,212,2,8,0,True,False
91906359,EPISODE_TYPE_PUBLIC,1,27017,AgriBot,55404000,18297,WIN,1,0,122,2,6,0,0,23,1873.0,4,13,2,5,297,3,10,3,True,True
91905416,EPISODE_TYPE_PUBLIC,0,18953,Charan Manthena,55356532,3426,WIN,1,0,121,2,6,0,0,23,1873.0,4,13,3,0,179,4,10,0,True,False
91904486,EPISODE_TYPE_PUBLIC,0,28397,Horizonx30,55386863,9862,WIN,1,0,123,2,6,0,0,23,1873.0,4,13,1,3,86,2,6,2,True,True
91903522,EPISODE_TYPE_PUBLIC,1,9157,TinkerBotics,55280223,25181,LOSS,1,0,132,2,6,0,0,23,1873.0,4,13,0,0,35,1,2,0,False,False
91902554,EPISODE_TYPE_PUBLIC,0,22394,Ryan Triplett,55424687,23143,LOSS,1,0,123,2,6,0,0,23,1873.0,4,13,3,4,273,4,15,0,True,True
91901556,EPISODE_TYPE_PUBLIC,1,27520,Amalio Gomez,55250834,4611,WIN,1,0,126,2,6,0,0,23,1873.0,4,13,1,0,42,2,2,0,True,False
91900645,EPISODE_TYPE_PUBLIC,0,18204,Kaggri Farmers,55348257,20074,LOSS,1,0,122,2,6,0,0,23,1873.0,4,13,2,0,155,3,9,0,True,False
91899701,EPISODE_TYPE_PUBLIC,0,23352,Francesco Benincasa,55266403,6019,WIN,1,0,122,2,6,0,0,23,1873.0,4,13,1,0,60,2,2,0,True,False
91898760,EPISODE_TYPE_PUBLIC,1,24778,JordanM10,55279606,14603,WIN,1,0,124,2,6,0,0,23,1873.0,4,13,0,0,505,1,10,0,False,False
91897820,EPISODE_TYPE_PUBLIC,0,27859,mayank,55298663,1299,WIN,1,0,122,2,6,0,0,23,1873.0,4,13,0,2,125,1,10,0,False,True
91896853,EPISODE_TYPE_PUBLIC,0,27631,khanna.rohit5,55397148,42118,LOSS,1,0,122,2,6,0,0,23,1873.0,4,13,3,38,280,4,12,10,True,True
91895978,EPISODE_TYPE_PUBLIC,1,28981,Hilarus,55131901,3000,WIN,1,0,121,2,6,0,0,23,1873.0,4,13,0,0,0,1,0,0,False,False
91894934,EPISODE_TYPE_PUBLIC,1,6920,Blu cky,55388084,22465,LOSS,1,0,130,2,6,0,0,23,1873.0,4,13,1,0,174,2,6,0,True,False
91893999,EPISODE_TYPE_PUBLIC,0,11629,Alex Kapend,55251523,22856,LOSS,1,0,133,2,6,0,0,23,1873.0,4,13,0,0,85,1,3,0,False,False
91893042,EPISODE_TYPE_PUBLIC,0,19563,Fanis Alexakis,55406316,57413,LOSS,1,0,122,2,6,0,0,23,1873.0,4,13,3,15,218,4,8,9,True,True
91892084,EPISODE_TYPE_PUBLIC,1,26023,YJ Wee 2807,55380197,40636,LOSS,1,0,122,2,6,0,0,23,1873.0,4,13,2,12,234,3,10,14,True,True
91890605,EPISODE_TYPE_VALIDATION,0,18787,(self-play validation),55425318,17696,WIN,1,0,127,2,6,0,0,23,1873.0,4,13,1,0,130,2,6,0,True,False
